name,iteration,durationMs
q1,1,38861
q10,1,38590
q11,1,111495
q12,1,8114
q13,1,29844
q14a,1,138487
q14b,1,129728
q15,1,12802
q16,1,290862
q17,1,19821
q18,1,40078
q19,1,10886
q2,1,47229
q20,1,7739
q21,1,14693
q22,1,30368
q23a,1,368272
q23b,1,367258
q24a,1,106742
q24b,1,98213
q25,1,19437
q26,1,23767
q27,1,28801
q28,1,269575
q29,1,42186
q3,1,7666
q30,1,21838
q31,1,25092
q32,1,5309
q33,1,10216
q34,1,1478
q35,1,65061
q36,1,24378
q37,1,42620
q38,1,55062
q39a,1,20960
q39b,1,18543
q4,1,242836
q40,1,20768
q41,1,1243
q42,1,3615
q43,1,11463
q44,1,67207
q45,1,12640
q46,1,1813
q47,1,53826
q48,1,24307
q49,1,34561
q5,1,40522
q50,1,114239
q51,1,35164
q52,1,5033
q53,1,11411
q54,1,13072
q55,1,3416
q56,1,7782
q57,1,34871
q58,1,9427
q59,1,44183
q6,1,10812
q60,1,11938
q61,1,9378
q62,1,15875
q63,1,10420
q64,1,326007
q65,1,71667
q66,1,19950
q67,1,362926
q68,1,2417
q69,1,26789
q7,1,26072
q70,1,31937
q71,1,11407
q72,1,122200
q73,1,1800
q74,1,89775
q75,1,128282
q76,1,75707
q77,1,14063
q78,1,221377
q79,1,20506
q8,1,11705
q80,1,62805
q81,1,24130
q82,1,66795
q83,1,10235
q84,1,12148
q85,1,26641
q86,1,13433
q87,1,56816
q88,1,233333
q89,1,23781
q9,1,319046
q90,1,22629
q91,1,10562
q92,1,5038
q93,1,166183
q94,1,146021
q95,1,113395
q96,1,32527
q97,1,77627
q98,1,7132
q99,1,28648
q1,2,18257
q10,2,25063
q11,2,104405
q12,2,5557
q13,2,28404
q14a,2,135207
q14b,2,125816
q15,2,12633
q16,2,289421
q17,2,18900
q18,2,28512
q19,2,9965
q2,2,46332
q20,2,5664
q21,2,11091
q22,2,29822
q23a,2,372114
q23b,2,371006
q24a,2,106611
q24b,2,100967
q25,2,18698
q26,2,24188
q27,2,29233
q28,2,268368
q29,2,42465
q3,2,8252
q30,2,22967
q31,2,28371
q32,2,5272
q33,2,10773
q34,2,1344
q35,2,64513
q36,2,22995
q37,2,41881
q38,2,55746
q39a,2,20754
q39b,2,19306
q4,2,243374
q40,2,20425
q41,2,1240
q42,2,3883
q43,2,11107
q44,2,65638
q45,2,12368
q46,2,1596
q47,2,53661
q48,2,24471
q49,2,35134
q5,2,38492
q50,2,115418
q51,2,34789
q52,2,4714
q53,2,11708
q54,2,12741
q55,2,3561
q56,2,9521
q57,2,33226
q58,2,7898
q59,2,44999
q6,2,12121
q60,2,44489
q61,2,11275
q62,2,16612
q63,2,10859
q64,2,333297
q65,2,74299
q66,2,21067
q67,2,360568
q68,2,2190
q69,2,30728
q7,2,40844
q70,2,31581
q71,2,11268
q72,2,117716
q73,2,1716
q74,2,89995
q75,2,127724
q76,2,77825
q77,2,13488
q78,2,219877
q79,2,21378
q8,2,11247
q80,2,62052
q81,2,24420
q82,2,68261
q83,2,10394
q84,2,13013
q85,2,25060
q86,2,14392
q87,2,58051
q88,2,228752
q89,2,23546
q9,2,320556
q90,2,22532
q91,2,9536
q92,2,4827
q93,2,165382
q94,2,145325
q95,2,112916
q96,2,32679
q97,2,78850
q98,2,7143
q99,2,28062
q1,3,19181
q10,3,24991
q11,3,104252
q12,3,6810
q13,3,27644
q14a,3,136082
q14b,3,125400
q15,3,12870
q16,3,290752
q17,3,18135
q18,3,40634
q19,3,10240
q2,3,46285
q20,3,5568
q21,3,11395
q22,3,29891
q23a,3,370518
q23b,3,368122
q24a,3,104115
q24b,3,100831
q25,3,19947
q26,3,24020
q27,3,28755
q28,3,269782
q29,3,40682
q3,3,7208
q30,3,22580
q31,3,27341
q32,3,5205
q33,3,9721
q34,3,1347
q35,3,64361
q36,3,22725
q37,3,42647
q38,3,55840
q39a,3,31331
q39b,3,30700
q4,3,242053
q40,3,20319
q41,3,1228
q42,3,3670
q43,3,10898
q44,3,88518
q45,3,11483
q46,3,1701
q47,3,53516
q48,3,24250
q49,3,34652
q5,3,38895
q50,3,114795
q51,3,34316
q52,3,4137
q53,3,10907
q54,3,12457
q55,3,3449
q56,3,8245
q57,3,32407
q58,3,7584
q59,3,44222
q6,3,10841
q60,3,12483
q61,3,10627
q62,3,15914
q63,3,17315
q64,3,331195
q65,3,72797
q66,3,20608
q67,3,349718
q68,3,2713
q69,3,25421
q7,3,39857
q70,3,33836
q71,3,10268
q72,3,117069
q73,3,2040
q74,3,89849
q75,3,127839
q76,3,77384
q77,3,11948
q78,3,220365
q79,3,20970
q8,3,11920
q80,3,63950
q81,3,25818
q82,3,67042
q83,3,10723
q84,3,13801
q85,3,23505
q86,3,15670
q87,3,57360
q88,3,222797
q89,3,24479
q9,3,318380
q90,3,22278
q91,3,10186
q92,3,4574
q93,3,165117
q94,3,145901
q95,3,111803
q96,3,32135
q97,3,77279
q98,3,7713
q99,3,30553